Review,Username,Rating,NegativeRating,NeutralRatings,PositiveFeeling,AppName
"1. Não possui login próprio e direciona para o website ou seja, e só um LINK dentro de um app; 2. Não reconhece meu rosto e a outra única opção é compartilhar meus dados bancários(pegaram pesado hein); 3. Não te dá uma outra opção; 4. Acredito que se desacatarmos o aplicativo seremos presos.",Kleber Contini,1,1,0,0,br.gov.meugovbr
reconhecimento facial não funciona e link com app Itaú tb não. então não consigo fazer o cadastro,Alessandra V.,2,1,0,0,br.gov.meugovbr
"Uma das melhores criações do Governo Bolsonaro, parabéns por facilitarem a vida do cidadão!",Jonathan,5,0,0,1,br.gov.meugovbr
Excelente programa do governo. Agora o brasileiro pode ter sua assinatura digital grátis.,Fabio Almeida,5,0,0,1,br.gov.meugovbr
O que dizer!? Não funciona e te faz perder seu tempo.,Adriane Santos,1,1,0,0,br.gov.meugovbr
Sempre top 🎩 5 estrelas,Daniel Silva de Assuncao,5,0,0,1,br.gov.meugovbr
Horrível! Lento e ainda não funciona o reconhecimento facial e é único aplicativo que isso acontece comigo!,Thalison Alexander,1,1,0,0,br.gov.meugovbr
parece spam o site,Fran Ramos,1,1,0,0,br.gov.meugovbr
"Hoje nao enviou sms nem com reza braba e ai nao tem como acessar, inviavel assim. O app nao enviou nenhuma notificacao, nao consigo acessar",Jardel Morais,1,1,0,0,br.gov.meugovbr
good,José Soares,5,0,0,1,br.gov.meugovbr
testando por enquanto,Emanuelle Duarte,3,0,1,0,br.gov.meugovbr
perfeitamente e seguro,Lucas Alphaville,5,0,0,1,br.gov.meugovbr
Excelente. Obrigado Governo Federal pela iniciativa de integração de todos os Bancos de Dados. Graças ao Gov do período de 2019 a 2022 obtivemos melhorias visando economia de recurso e melhor qualidade de serviços ao contribuinte,Luciano Ramos Katzenstein,5,0,0,1,br.gov.meugovbr
excelente legado,werber bezerra,5,0,0,1,br.gov.meugovbr
"experiência horrível, terrível, lamentável, vexaminosa. Saí na foto com cara de maluca de tanta raiva que eu passei tentando fazer o app entender que meu rosto é de um ser humano. Estou mentalmente abalada.",Bianca 03,1,1,0,0,br.gov.meugovbr
Bom,Kalina Sedano,5,0,0,1,br.gov.meugovbr
rop,Jeezyel Pereira,5,0,0,1,br.gov.meugovbr
bom,Mundo Impossível,5,0,0,1,br.gov.meugovbr
Bueno,Mr champagne papi,5,0,0,1,br.gov.meugovbr
bom,Ed Records Campinas,4,0,0,1,br.gov.meugovbr
"Eu sigo recebendo a msg ""reconhecimento facial não realizado"" sempre que faço o login (já tenho a conta gov.br). Sendo que nem aparece a opção de reconhecimento facial, eu simplesmente clico no login, coloco os dados e recebo esta msg",Faber Velloso,1,1,0,0,br.gov.meugovbr
"Impossível fazer reconhecimento fácil, sempre da erro. Não consigo logar no app por causa disso.",Augusto Gomes,1,1,0,0,br.gov.meugovbr
"muito ruim, lento, mal desenvolvido, servidor ruim. Simplusmente horrível!",ENDREW SANTOS,1,1,0,0,br.gov.meugovbr
App obrigatório para todo cidadão brasileiro!,Gleydson Góes,5,0,0,1,br.gov.meugovbr
m.erd.@,milfanitus 3001,1,1,0,0,br.gov.meugovbr
muito complicado,Michele Morais,2,1,0,0,br.gov.meugovbr
"Adicionem a possibilidade de salvar os documentos da aba ""Carteira de documentos"" do aplicativo de vocês no Google Wallet (Carteira do Google)! Da mesma forma como já ocorre no aplicativo Conecte SUS com o Certificado de Vacinação e o Cartão do SUS! 😁🤩",Yuri Possimozer,5,0,0,1,br.gov.meugovbr
"Quando troquei de celular, para o meu primeiro login pediu reconhecimento facial e não reconhecia de jeito nenhum, e não tinha outra alternativa para logar. Depois de um bom tempo consegui fazer o reconhecimento, mas fiquei sem poder usar o app.",Gustavo Mattos Bottega,2,1,0,0,br.gov.meugovbr
"App ridículo, pra variar tudo que vem do governo não funciona, desde a última atualização o app não abre mais e exige reconhecimento facial que quando não faz o app nunca reconhece ou sempre dá tempo esgotado e vc fica na mão o que é o costume com todos os apps que vem do governo. Só dou 1 estrela por que não posso deixar sem nenhuma.",João Daniel Tronco Mandel,1,1,0,0,br.gov.meugovbr
O reconhecimento facial não funciona mesmo com o fundo branco e a luz do ducking dia,Michelle Torres,1,1,0,0,br.gov.meugovbr
Péssimo do começo ao fim,Natan Kayevo,1,1,0,0,br.gov.meugovbr
